"","precinct","year","time_after_int","cure","time_after_int_recode"
"174",79,"2011",0,"0",0
"175",79,"2012",0,"0",0
"176",79,"2013",0,"0",0
"177",79,"2014",0,"0",0
"178",79,"2015",1,"1",0
"179",79,"2016",2,"1",1
"180",79,"2017",3,"1",2
"181",79,"2018",4,"1",3
"182",79,"2019",5,"1",4
"183",101,"2006",0,"0",0
"184",101,"2007",0,"0",0
"185",101,"2008",0,"0",0
"186",101,"2009",0,"0",0
"187",101,"2010",0,"0",0
"188",101,"2011",0,"0",0
"189",101,"2012",0,"0",0
"190",101,"2013",0,"0",0
"191",101,"2014",0,"0",0
"192",101,"2015",1,"1",0
"193",101,"2016",2,"1",1
"194",101,"2017",3,"1",2
"195",101,"2018",4,"1",3
"196",101,"2019",5,"1",4
"197",113,"2006",0,"0",0
"198",113,"2007",0,"0",0
"199",113,"2008",0,"0",0
"200",113,"2009",0,"0",0
"201",113,"2010",0,"0",0
"202",113,"2011",0,"0",0
"203",113,"2012",0,"0",0
"204",113,"2013",1,"1",0
"205",113,"2014",2,"1",1
"206",113,"2015",3,"1",2
"207",113,"2016",4,"1",3
"208",113,"2017",5,"1",4
"209",113,"2018",6,"1",5
"210",113,"2019",7,"1",6
"211",114,"2006",0,"0",0
"212",114,"2007",0,"0",0
"213",114,"2008",0,"0",0
"214",114,"2009",0,"0",0
"215",114,"2010",0,"0",0
"216",114,"2011",0,"0",0
"217",114,"2012",0,"0",0
"218",114,"2013",0,"0",0
"219",114,"2014",0,"0",0
"220",114,"2015",0,"0",0
"221",114,"2016",1,"1",0
"222",114,"2017",2,"1",1
"223",114,"2018",3,"1",2
"224",114,"2019",4,"1",3
"225",120,"2006",0,"0",0
"226",120,"2007",0,"0",0
"227",120,"2008",0,"0",0
"228",120,"2009",0,"0",0
"229",120,"2010",0,"0",0
"230",120,"2011",0,"0",0
"231",120,"2012",0,"0",0
"232",120,"2013",0,"0",0
"233",120,"2014",1,"1",0
"234",120,"2015",2,"1",1
"235",120,"2016",3,"1",2
"236",120,"2017",4,"1",3
"237",120,"2018",5,"1",4
"238",120,"2019",6,"1",5
